Document Key,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

blog/website
book-chapter/section
book-entire
book-pamphlet
book-report/report section
journal-article
magazine-article
manuscript
newspaper-article
newspaper-supplement-article
review-book
thesis/dissertation",Author Name,Article Ttitle,"Article Sort Title

All articles (a, an, the) and spaces before the first and after the last words removed in this column

All punctuation removed, INCLUDING COLONS, QUOTATION MARKS, AND APOSTROPHES so that only letters are considered when the website alphabetizes","Publication Title

All italics are produced by the webiste programming, so encoding for italics is essential here.",Volume Number,Issue Number,Day,Month,Year,"Standardized Date 

(yyyy-mm-dd)","Pages 

(Website uses this column only)","Publisher 

(required for monograph)","Year of publication

(required for monograph)",Archival Holding,"Location of Physical Copy 

(for archival sources)","Place of Publication

for maps on website

also for browse by publication location feature","Permission Obtained

(date, point of contact, pertinent details)",Cost,Permission Acknowledgements & Other Notes,"Permission Statements

statements provided here replace the website's general permission statement 

For documents published outside the United States, make sure to use any permission statement already written. For new countries, a standard publication statement should be written which follows the model of permission statements provided here.","Acquisitions information
WesternDemocrat1857,newspaper-article,"C. J. W. Russell,","""A California Cruise [Crusoe]. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicholas,""",California Cruise [Crusoe]. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicholas,<i>Charlotte (NC) Western Democrat</i>,5,no. 33,17,February,1857,1857-02-17,1,,,,,"Charlotte, North Carolina",,,,,,,,
WilmingtonJournal1857,newspaper-article,"C. J. W. Russell,","""A California Cruise [Crusoe]. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicholas,""",California Cruise [Crusoe]. Narrative of a Woman Who Lived Eighteen Years Alone Upon the Island of San Nicholas,<i>Wilmington (NC) Journal</i>,13,no. 24,13,February,1857,1857-02-13,1,,,,,"Wilmington, North Carolina",,,,,,,,
WisconsinHerald1847,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Wisconsin Herald</i>,"5, ",no. 1,13,March,1847,1847-03-13,1,,,,,"Lancaster, Wisconsin",Public domain,,,,,,,
Witter1885_DAC,newspaper-article,"Fred Spalding Witter,","""Sanitarium of the West. Rambles about San Francisco and down the Pacific Coast. Stories of Spanish Fathers. Barbara, the Saint—the Lost Woman of San Nicolas—Remains of the Old Museum—Traces of the Mound Builders—Golden Gate,""","Sanitarium of the West. Rambles about San Francisco and down the Pacific Coast. Stories of Spanish Fathers. Barbara, the Saint—the Lost Woman of San Nicolas—Remains of the Old Museum—Traces of the Mound Builders—Golden Gate",<i>Rochester (NY) Democrat and Chronicle</i>,"53,",no. 88,29,March,1885,1885-03-29,3,Rochester Print.,,,,"Rochester, New York",Public domain,,,,,,,
Witter1885_TAC,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe,""",Feminine Crusoe,<i>Atlanta (GA) Constitution</i>,,,20,May,1885,1885-05-20,6,Constitution,,,,"Atlanta, Georgia",Public domain,,,,,,,
Yates1892_29Feb,newspaper-article,"Lorenzo G. Yates,","""The Lost Woman. A Grossly Erroneous Version of the Story. Joaquin Miller Writes History to Suit Himself—The Location of the Channel Islands—That 'Castle,'"" ",Lost Woman. A Grossly Erroneous Version of the Story. Joaquin Miller Writes History to Suit Himself—The Location of the Channel Islands—That Castle,<i>Santa Barbara (CA) Daily Independent</i>,"18, ",no. 98,29,February,1892,1892-02-29,4,,,,,"Santa Barbara, California",Public domain,,,,,,,
AlleganyCountyRepublican1901,newspaper-article,"[M.E. Dudley],","""The Woman of San Nicolas Island. A Strange Story of the Pacific Coast,""",Woman of San Nicolas Island. A Strange Story of the Pacific Coast,<i>Allegany County (NY) Republican</i>,"81, ",no. 43,25,October,1901,1901-10-25,2,,,,,"Friendship, New York",Public domain,,,,,,,
Robinson2004-Adrift,newspaper-article,"Joe Robinson,","""Adrift in a Sea of Fiction,""",Adrift in a Sea of Fiction,<i>Los Angeles Times</i>,,,15,June,2004,2004-06-15,F5,,,,,"Los Angeles, California",Y,,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,,Y--cover of IotBD
Miller1891,newspaper-article,"Joaquin Miller, ","""Mrs. Robinson Crusoe, of California. De Foe's Hero Outdone by an Heroic Indian Woman of Cunning Intelligence. Twenty-five years alone. Joaquin Miller's Quaint Sketch of the Lonely Denizen of an Island Off the Western Coast,"" ","Mrs. Robinson Crusoe, of California. De Foes Hero Outdone by an Heroic Indian Woman of Cunning Intelligence. Twenty-five years alone. Joaquin Millers Quaint Sketch of the Lonely Denizen of an Island Off the Western Coast ",<i>New York Herald</i>,,no. 116,26,April,1891,1891-04-26,13,,,,,"New York, New York",Public domain,,,,,,,Y--depiction of LW
StLouisRepublic1893,newspaper-article,"[James M. Gibbons],","""A Feminine Crusoe. She Lived Seventeen Years Alone on an Island. Rescued to Die the Sooner—A Strange Story 'Juana Maria Better-Than-Nothing's' Adventures on a Desert Island,"" ",Feminine Crusoe. She Lived Seventeen Years Alone on an Island. Rescued to Die the Sooner—A Strange Story Juana Maria Better-Than-Nothings Adventures on a Desert Island ,<i>St. Louis Republic</i>,"86,",,14,October,1893,1893-10-14,Pt. 2 p. 10,,,,,"St. Louis, Missouri",Public domain,,,,,,,Y--depiction of LW
TheBryanDailyEagle1897,newspaper-article,,"""Golgotha of Pacific. An Island Covered with Old Human Bones. Extinct Race of Veritable Giants—Capture of Sole Survivor of the Ancient Race That Inhabited San Nicolas Island,"" ",Golgotha of Pacific. An Island Covered with Old Human Bones. Extinct Race of Veritable Giants—Capture of Sole Survivor of the Ancient Race That Inhabited San Nicolas Island,<i>Bryan (TX) Daily Eagle</i>,"2, ",no. 178,26,June,1897,1897-06-26,2,,,,,"Bryan, Texas",Public domain,,,,,,,Y--depiction of LW
TheWorld1899,newspaper-article,,"""Expedition to Clear up the Mystery of the Wild Woman of San Nicolas Island: The Dress of Feathers Which Maria Better Than Nothing Sewed for Herself out of Skins of Birds Sent to the Propagandist Museum in Rome—Further Details Anxiously Sought of the Woman Who, for the Sake of Her Child, Lived Alone on California Island for Twenty Years—the Child Died Long Ago—the Mother, Crazed by Grief and Sufferings, Now Rests in Holy Ground,""","Expedition to Clear up the Mystery of the Wild Woman of San Nicolas Island The Dress of Feathers Which Maria Better Than Nothing Sewed for Herself out of Skins of Birds Sent to the Propagandist Museum in Rome—Further Details Anxiously Sought of the Woman Who, for the Sake of Her Child, Lived Alone on California Island for Twenty Years—the Child Died Long Ago—the Mother, Crazed by Grief and Sufferings, Now Rests in Holy Ground",<i>New York World</i>,"40,",no. 14012,31,December,1899,1899-12-31,"Sunday Magazine Supplement, 6",,,,,"New York, New York",Public domain,,,,,,,Y--depiction of LW being found by GN
Robinson2004-Marooned,newspaper-article,"Joe Robinson,","""Marooned,""",Marooned,<i>Los Angeles Times</i>,,,15,June,2004,2004-06-15,"F1, F4-F5",,,,,"Los Angeles, California",Y,,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,,"Y--depiction of LW, images of SNI"
NewYorkHerald1896,newspaper-article,,"""Isles of Mystery. Mementos of a Dead Past and an Extinct Race in the Pacific. The Channel Islands. Thoroughly Explored at Last by Professor Charles Frederick Holden. San Nicolas' Lone Woman. Remains That Tell of an Interesting Tribe of Aesthetic Tastes,"" ",Isles of Mystery. Mementos of a Dead Past and an Extinct Race in the Pacific. The Channel Islands. Thoroughly Explored at Last by Professor Charles Frederick Holden. San Nicolas Lone Woman. Remains That Tell of an Interesting Tribe of Aesthetic Tastes,<i>New York Herald</i>,,,22,November,1896,1896-11-22,Sixth Sec. 7,,,,,"New York, New York",Public domain,,,,,,,Y--depiction of SNI artifact
Julian1901_TBH,newspaper-article,"Edward Julian,","""Stories of Riches. They Come from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West—the Wonders of San Nicolas,"" ",Stories of Riches. They Come from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West—the Wonders of San Nicolas,<i>Beaver (OK) Herald</i>,"15, ",no. 33,19,December,1901,1901-12-19,2,,,,,"Beaver, Oklahoma",Public domain,,,,,,,Y--depiction of SNI Stone Forest
TheNewYorkPress1901,newspaper-article,"Henry G Tinsely,","""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,""",To Explore the Strange Island of San Nicolas An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,<i>New York Press</i>,"14,",,13,October,1901,1901-10-13,"Sunday Magazine Supplement, 1",,,,,"New York, New York",Public domain,,,,,,,Y--depictions of Indians/bones/SNI
TheEveningPost1896,newspaper-article,,"""The Lost Woman of San Nicolas Island: A Romance of California Pioneer Days,"" ",Lost Woman of San Nicolas Island A Romance of California Pioneer Days,<i>San Francisco Evening Post</i>,"50, ",no. 21,25,July,1896,1896-07-25,9,,,,,"San Francisco, California",Public domain,,,,,,,Y--depictions of LW
Oregonian1901,newspaper-article,"[Henry G. Tinsley],","""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,"" ",To Explore the Strange Island of San Nicolas An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,<i>Sunday Oregonian</i>,"20, ",no. 42,20,October,1901,1901-10-20,32,,,,,"Portland, Oregon",Public domain,,,,,,,Y--depictions of SNI and natives
ThePittsburgPress1901,newspaper-article,"[Henry G. Tinsley],","""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,"" ",To Explore the Strange Island of San Nicolas An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,<i>Pittsburg Press</i>,"18, ",no. 283,12,October,1901,1901-10-12,"Sunday Magazine, 8",,,,,"Pittsburg, Pennsylvania",Public domain,,,,,,,Y--depictions of SNI and natives
SanFranciscoChronicle1894,newspaper-article,,"""A Romance of the Sea. Relics of a Lost Tribe of Indians. The Cruise of the Schooner Alexander. Upturned Graves of a Once Mighty People on San Nicolas Island,"" ",Romance of the Sea. Relics of a Lost Tribe of Indians. The Cruise of the Schooner Alexander. Upturned Graves of a Once Mighty People on San Nicolas Island ,<i>San Francisco Chronicle</i>,"60, ",no. 145,7,December,1894,1894-12-07,4,,,,,"San Francisco, California",Public domain,,,,,,,Y--depictions of SNI artifacts
Edwords1906,newspaper-article,"Clarence E. Edwords,","""A Female Crusoe on the Island Of Skulls,"" ",Female Crusoe on the Island Of Skulls ,<i>San Francisco Chronicle</i>,"89, ",no. 170,30,December,1906,1906-12-30,"Sunday Supplement, 5",,,,,"San Francisco, California",Public domain,,,,,,,"Y--drawing of LW, scenes from SNI"
Holder1892,newspaper-article,"Charles Frederick Holder,","""A Four-in-Hand in Southern California,"" ",Four-in-Hand in Southern California ,<i>Californian Illustrated Magazine</i>,"1,",no. 1,,October,1891,1891-10-01,326-35 ,,,,,"San Francisco, California",Public domain,,,,,,,"Y--drawing of Santa Barbara Bay, drawing of Mission SB, Drawing houses, drawing fording the stream, drawing Castle Rock"
ChicagoDailyTribune1902,newspaper-article,"[Henry G. Tinsley],","""To Explore the Strange Island of San Nicolas: An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,""",To Explore the Strange Island of San Nicolas An Expedition from the University of California Will Visit the Grewsome Land That is Spread Over with Skulls and Thighbones of a Lost Race,<i>Chicago Daily Tribune</i>,"50,",no. 61,2,March,1902,1902-03-02,58,Tribune,,,,"Chicago, Illinois",Public domain,,,,,,,Y--drawings of SNI and expedition
Brantingham1993,newspaper-article,"Barney Brantingham,","""Island Woman's Origins Still Hotly Debated,""",Island Womans Origins Still Hotly Debated,<i>Santa Barbara (CA) News-Press</i>,,,11,July,1993,1993-07-11,B2,,,,,"Santa Barbara, California",Y,$25 for 3 articles,Courtesy of Santa Barbara News-Press,Courtesy of Santa Barbara News-Press.,,,,Y--graphic and image of LW plaque at SBMission
Hall1900,newspaper-article,"Percy W. Hall, ","""The Sad Story of a Vanquished Race: Characteristics of the People Who Once Inhabited the Nearby Islands,""",Sad Story of a Vanquished Race Characteristics of the People Who Once Inhabited the Nearby Islands,<i>Daily Los Angeles Herald</i>,"27,",no. 315,12,Aug.,1900,1900-08-12,"Illustrated Sunday Supplement, 8",Ayers & Lynch,,,,"Los Angeles, California",Public domain,,,,,,,Y--image from SNI
TheBrooklynDailyEagle1904,newspaper-article,,"""Relics of a Vanished Race Found on a Lonely Island off California Interest Scientists Deeply,"" ",Relics of a Vanished Race Found on a Lonely Island off California Interest Scientists Deeply,<i>Brooklyn Daily Eagle</i>,"65, ",no. 9,10,January,1904,1904-01-10,"News Special 2, 4",,,,,"Brooklyn, New York",Public domain,,,,,,,Y--image of archaeologists on CI
Sell1954,newspaper-article,"Ted Sell,","""Tiny Skeleton Recalls 1835 Island Saga: Bones Believed Those of Mystery Hermit's Child,""",Tiny Skeleton Recalls 1835 Island Saga Bones Believed Those of Mystery Hermits Child,<i>Los Angeles Times</i>,"73,",,5,July,1954,1954-07-05,"Pt. 2, pp. 1-2",,,,,"Los Angeles, California",Y,,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,,"Y--image of Arthur R. Sanger, image of Chumash whale effigies"
SantaBarbaraNewsPress1944,newspaper-article,,"""'Woman of San Nicholas' Not Myth: New Proof Found at Old Mission,""",Woman of San Nicholas Not Myth New Proof Found at Old Mission,<i>Santa Barbara (CA) News-Press</i>,"81,",no. 113,20,February,1944,1944-02-20,C7,,,,,"Santa Barbara, California",Y,$25 for 3 articles,Courtesy of Santa Barbara News-Press,Courtesy of Santa Barbara News-Press.,,,,"Y--image of GN, writing by GN"
NewYorkRecorder1893,newspaper-article,"[James M. Gibbons],","""A Feminine Crusoe. She Lived Seventeen Years Alone On San Nicolas Island. Rescued to Die the Sooner. A Strange Story of ""Juana Maria Better-Than-Nothing's"" Adventures on a Desert Island,""",Feminine Crusoe. She Lived Seventeen Years Alone On San Nicolas Island. Rescued to Die the Sooner. A Strange Story of Juana Maria Better-Than-Nothings Adventures on a Desert Island,<i>New York Recorder</i>,"6,",no. 960,8,October,1893,1893-10-08,21,,,,,"Mount Kisco, New York",Public domain,,,,,,,Y--image of LW with dog on SNI; also same image of man in front of hut from Holder
Hedger1961,newspaper-article,"Jean Hedger,","""O’Dell’s Early Life Aids ‘Dolphin’ Story,""",O’Dell’s Early Life Aids ‘Dolphin’ Story,<i>El Cajon (CA) Valley News</i>,"68,",no. 28,6,Apr.,1961,1961-04-06,A8,,,,,"El Cajon, California","Defunct, so Y",,"[defunct as of 1979: http://chroniclingamerica.loc.gov/lccn/sn98061497/]
 
 Please attribute those images you use as ""Courtesy of El Cajon Historical Society""","Images courtesy of El Cajon Historical Society Archives, El Cajon, CA.",,,,Y--image of Scott O'Dell
Julian1901_TS,newspaper-article,"Edward Julian, ","""Stories of Riches. They Came from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West—The Wonders of San Nicolas,"" ",Stories of Riches. They Came from All Parts of Our Wonderful Country. New Deposits of Precious Metals and Minerals Discovered in the Far West—The Wonders of San Nicolas,<i>Parsons (KS) Sun</i>,"23, ",no. 219,21,November,1901,1901-11-21,4,,,,,"Parsons, Kansas",Public domain,,,,,,,Y--image of SNI
TheTelegram1913,newspaper-article,,"""Beautiful Santa Barbara an Out-of-Door Paradise: It Is the Riviera of the Great Pacific Coast, and Was Named for a Girl Killed by Her Father. . . .,"" ","Beautiful Santa Barbara an Out-of-Door Paradise It Is the Riviera of the Great Pacific Coast, and Was Named for a Girl Killed by Her Father. . . .",<i>Elmira (NY) Telegram</i>,,,2,March,1913,1913-03-02,,,,,,"Elmira, New York",Public domain,,,,,,,"Y--Images of houses in SB, mission at SB"
SantaBarbaraNewsPress1962,newspaper-article,,,,<i>Santa Barbara (CA) News-Press </i>,"108, ",no. 88,17,August,1962,1962-08-17,A 8-9,,,,,"Santa Barbara, California",Public domain,,,,,,,Y--images of SB parade
Kelp1889,newspaper-article,"Kelp,","""Archaeological. Relics of the Oriental Races of Catalina. Interesting Discoveries under the Hotel Metropole—Stone Implements, Earrings, Beads, Fishhooks, Mortars, Pestles, Arts of the Aborigines, Etc,"" ","Archaeological. Relics of the Oriental Races of Catalina. Interesting Discoveries under the Hotel Metropole—Stone Implements, Earrings, Beads, Fishhooks, Mortars, Pestles, Arts of the Aborigines, Etc",<i>Los Angeles Times</i>,"8,",,25,August,1889,1889-08-25,"Pt. II, 9",,,,,"Los Angeles, California",Public domain,,,,,,,Y--images of SNI artifacts
LosAngelesTimes1951,newspaper-article,,"""Indians Once Lived on Channel Islands: Hundreds of Years Ago Southland Was Ancient Utopia of Peace,""",Indians Once Lived on Channel Islands Hundreds of Years Ago Southland Was Ancient Utopia of Peace,<i>Los Angeles Times</i>,"70,",,9,July,1951,1951-07-09,"Pt. I; 2-3, 18",,,,,"Los Angeles, California",Y,pd,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,,"Y--images of SNI, images of SNI artifacts"
SanFranciscoChronicle1889,newspaper-article,,"""The Channel Isles. California's Solitary Archipelago. Cabrillo's Unknown Grave. History and Description of the Santa Barbara Islands,"" ",Channel Isles. Californias Solitary Archipelago. Cabrillos Unknown Grave. History and Description of the Santa Barbara Islands ,<i>San Francisco Sunday Chronicle</i>,"49, ",no. 47,3,March,1889,1889-03-03,8,,,,,"San Francisco, California",Public domain,,,,,,,"Y--map of Channel Islands, depiction of Catalina harbor"
Reynolds1902,newspaper-article,"James E. Reynolds,","""The Lost Woman of San Nicolas,""",Lost Woman of San Nicolas,<i>Los Angeles Sunday Herald Illustrated Magazine</i>,"29,",no. 236,25,May,1902,1902-05-25,8-9,Ayers & Lynch,,,,"Los Angeles, California",Public domain,,,,,,,Y--photos of SNI
Rasmussen2001,newspaper-article,"Cecilia Rasmussen,","""L.A. Then and Now: Woman’s Lonely Saga Left a Mystery,"" ",L.A. Then and Now Woman’s Lonely Saga Left a Mystery,<i>Los Angeles Times</i>,,,18,March,2001,2001-03-18,B3,,,,,"Los Angeles, California",Y,PD,Copyright 1961. Los Angeles Times. Reprinted with Permission.,Copyright 1961. Los Angeles Times. Reprinted with Permission.,,,,Y--potential photo of LW
CortlandStandard1926,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters,"" ","Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, Finally Found by Party of Otter Hunters",<i>Cortland (NY) Standard</i>,,no. 239,10,December,1926,1926-12-10,10,,,,,"Cortland, New York",Public domain,,,,,,,
GreatSouthernHerald1914,newspaper-article,,"""The Island of Mystery,"" ",Island of Mystery ,<i>Katanning (AUS) Great Southern Herald</i>,"13, ",no. 1148,11,November,1914,1914-11-11,4,,,,,"Katanning, Western Australia, Australia",Public domain,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
LakeWakatipMail1892,newspaper-article,,"""The Isle of Skulls,"" ",Isle of Skulls,<i>Queenstown (NZL) Lake Wakatip Mail</i>,,no. 1903,28,October,1892,1892-10-28,3,,,,,"Queenstown, South Island, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
NewcastleMorningHerald1879,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Newcastle (AUS) Morning Herald & Miners Advocate</i>,"7, ",no. 1549,7,June,1879,1879-06-07,3,,,,,"Newcastle, New South Wales, Australia",Public domain,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
NorthOtagoTimes1879,newspaper-article,,"""A Castaway,"" ",Castaway ,<i>North Otago (NZL) Times</i>,"28, ",no. 2217,9,June,1879,1879-06-09,3,,,,,"Oamaru, North Otago, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
NorthOtagoTimes1902,newspaper-article,,"""A Giant Race,""",Giant Race,<i>North Otago (NZL) Times</i>,"25, ",no. 979,26,April,1902,1902-04-26,"Supplement, 1",,,,,"Oamaru, North Otago, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
Revoil1855,newspaper-article,"Bénédict Henry Révoil, ","""Madame Robinson,""",Madame Robinson,<i>Le Mousquetaire</i> (Paris),"21,",,25,February,1855,1855-02-25,120-21,,1855,,,"Paris, Île-de-France, France",Public domain,,"French
Édition hebdomadaire","Under most circumstances, materials published in France, Germany, or Russia enter the public domain 70 years after the death of their author, and material published in Canada 50 after the death of their author. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in France, Germany, Russia, or Canada, we request that you cite it as follows: Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/books/island-of-the-blue-dolphins/index.htm. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
ThamesAdvertiser1879,newspaper-article,,"""A Castaway,"" ",Castaway ,<i>Thames (NZL) Advertiser and Miners' News</i>,"12, ",no. 3356,2,July,1879,1879-07-02,3,,,,,"Thames, North Island, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
ThamesAdvertiser1892,newspaper-article,,"""The Isle of Skulls,"" ",Isle of Skulls,<i>Thames (NZL) Advertiser</i>,"25,",no. 7266,12,July,1892,1892-07-12,3,,,,,"Thames, North Island, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheArgus1879,newspaper-article,,"No title,","No title,",<i>Melbourne (AUS) Argus</i>,,no. 10267,15,May,1879,1879-05-15,5,,,,,"Melbourne, Victoria, Australia",Public domain,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheBorderWatch1879,newspaper-article,,"""Alone for Eighteen Years,"" ",Alone for Eighteen Years,<i>Mount Gambier (AUS) Border Watch</i>,"19, ",no. 1643,2,August,1879,1879-08-02,4,,,,,"Mount Gambier, South Australia, Australia",Public domain,,,"Australian periodicals published in this archive were found via the National Library of Australia’s Trove project: http://trove.nla.gov.au. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in Australia, we request that you cite the original source provided via Trove, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about Australia copyright law, including fair use, can be found here: http://www.nla.gov.au/copyright-in-library- collections. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
TheBruceHerald1884,newspaper-article,,"""A Female Crusoe,"" ",Female Crusoe ,<i>Tokomairiro (NZL) Bruce Herald</i>,"17, ",no. 1626,11,July,1884,1884-07-11,6,,,,,"Tokomairiro, Otago, New Zealand",Public domain,,,"New Zealand periodicals published in this archive were found via the National Library of New Zealand’s Papers Past project: https://paperspast.natlib.govt.nz. If re-publishing, quoting from, or reproducing images from this digital archive with original publication in New Zealand, we request that you cite the original source at the National Library of New Zealand, as well as the Lone Woman and Last Indians Digital Archive (Lone Woman and Last Indians Digital Archive, University of South Carolina, https://www.nps.gov/subjects/islandofthebluedolphins/index.htm). Information about New Zealand copyright law, including fair use, can be found here: https://paperspast.natlib.govt.nz/copyright. 

Responsibility for any use of the contents of the Lone Woman and Last Indians Digital Archive rests exclusively with the user.",,,,
