"NOTE

The tab ""DocumentGroups"" was built to display document groups. This tab explains all document relationships as determined by Sara and Rachel as of November 2017.

There are a few document groups included on this tab that are not and should not appear on the ""DocumentGroups"" tab or the website because, for instance, one document responds to another doesn't fit any of the following categories: a reprint/paraphrase/truncation.  It just references or responds to another document.  An example: Yates1892_29Feb responds to Miller1891 but does not reprint/paraphrase/truncate any of the actual content in Miller 1891 ",Document Key of Original,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Document Key of Reprint/Related,Publication Date,"Relationship notes 


(Direct reprints, Paraphrase, References, Quotes, Truncated reprint)


*""Direct reprints"" can (and often do) differ typographically but not by content, including minor changes of wording","Author Attribution Provided?

Quotation marks only used to indicate reprinted text when noted","References to Additional Sources?

Quotation marks only used to indicate reprinted text when noted","Publication Attribution Provided for reprinted/related copy?

Quotation marks only used to indicate reprinted text when noted"
,,,,TheDearbornIndependent1920,,,,7/31/1920,"Truncated reprint of TheCincinnatiEnquirer1895--13 paragraphs reprinted w/ scattered sentences/phrases removed, phrases paraphrased (arranged into more paragraphs)
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,N
,,,,TheOxnardDailyCourier1920,,,,8/8/1920,"Direct reprint of TheCincinnatiEnquirer1895
(Paraphrase of Eames1893--w/ additional details, arranged differently, scattered sentences and one entire paragraph copied directly)",N,N,Y--TheDearbornIndependent1920
,,,,,,,,,,,,
,,,,,,,,,,,,
Roberts1886 & reprints/related,Roberts1886,,,,,,,1/1/1886,,Y--Roberts,N,N
,TheMorningCall1893,,,,,,,7/7/1893,,N,N,N
,,SanFranciscoChronicle1893_Jul7,,,,,,7/7/1893,Paraphrase TheMorningCall1893--w/ first three paragraphs and scattered sentences directly reprinted and scattered new copy,N,N,N
,,SanFranciscoChronicle1893_Jul8,,,,,,7/8/1893,Response to SanFranciscoChronicle1893_Jul7,N,N,N
,,SanFranciscoChronicle1893_Jul10,,,,,,7/10/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,Roberts1893,,,,,,7/12/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,ArizonaWeeklyJournalMiner1893,,,,,,7/19/1893,"Truncated reprint of TheMorningCall1893--1 paragraph reprinted
Truncated reprint of the SanFranciscoChronicle1893_Jul7--3 paragraphs reprinted
Misattirbution to San Diego Union
w/ new introduction",N,N,Y--Misattribution to San Diego Union
,,GreenburghRegister1893_Aug11,,,,,,8/11/1893,Paraphrases SanFranciscoChronicle1893_Jul10,N,N,N
,,GreenburghRegister1893_Aug25,,,,,,8/25/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,TheEastHamptonStar1893,,,,,,8/25/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,TheWilsonMirror1893,,,,,,9/6/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,TheMalvernLeader1893,,,,,,9/21/1893,Truncated reprint of Roberts1886--3 paragraphs reprinted--w/ new introduction,Y--Roberts,"Y--SanFranciscoChronicle1893_Jul7, SanFranciscoChronicle1893_Jul8 (indirectly)",N
,,,,,,,,,,,,
,,,,,,,,,,,,
Robinson1891 & reprints/related,Robinson1891,,,,,,,1/1/1891,,,,
,Robinson1897,,,,,,,1/1/1897,Direct reprint of Robinson1891,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Bowers1892 & reprints/related,Bowers1892,,,,,,,12/20/1892,,,,
,,Mathis1899,,,,,,1/8/1899,"Paraphrases portions of Bowers1892--w/ new details, facts
References Bowers1892",Y-Mathis,N,Y--Bowers1892
,,,TheCincinnatiEnquirer1899,,,,,3/25/1899,"Truncated reprint of Mathis1899--19 paragraphs reprinted, rearranged, w/ missing and paraphrased sentences
(Paraphrases portions of Bowers1892)
ReferencesSan Francisco Call",N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
SanFranciscoChronicle1894 & reprints/related,SanFranciscoChronicle1894,,,,,,,12/7/1894,,,,
,Exchange (see StillSearching),,,,,,,,,,,
,,DemocratAndChronicle1894,,,,,,12/30/1894,Direct reprint of SanFranciscoChronicle1894,N,N,"Y--References ""Exchange"""
,,,,,,,,,,,,
,,,,,,,,,,,,
NewYorkHerald1896 & reprints/related,NewYorkHerald1896,,,,,,,11/22/1896,,,,
,,WeeklyIrishTimes1896,,,,,,12/12/1896,Direct reprint of NewYorkHerald1896,N,N,Y--NewYorkHerald1896
,,TheSaintPaulGlobe1896,,,,,,12/28/1896,Direct reprint of NewYorkHerald1896,N,N,N
,,Glasgow Mail (see Still Searching),,,,,,,,,,
,,,TheMorningBulletin1897,,,,,2/16/1897,Truncated reprint of NewYorkHerald1896--22 paragraphs reprinted,N,N,Y--Glasgow Mail
,,,,TheTelegraph1898,,,,3/15/1898,"Direct reprint of TheMorningBulletin1897
Truncated reprint of NewYorkHerald1896--22 paragraphs reprinted",N,N,N
,,,,MaryboroughChronicle1897,,,,3/25/1897,"Direct reprint of TheMorningBulletin1897
Truncated reprint of NewYorkHerald1896--22 paragraphs reprinted",N,N,Y--Glasgow Mail
,,,NorthOtagoTimes1902,,,,,4/26/1902,Truncated reprint of NewYorkHerald1896,N,N,N
,,,TheBruceHerald1902,,,,,8/15/1902,Truncated reprint of NewYorkHerald1896,N,N,N
,,,GreatSouthernHerald1914,,,,,11/11/1914,Direct reprint of TheBruceHerald1902,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Yates1896 & reprints/related,Yates1896,,,,,,,5/1/1896,,,,
,,Yates1907,,,,,,2/1/1907,Truncated reprint of Yates1896,Y--Yates,N,Y--Yates1896
,,,,,,,,,,,,
,,,,,,,,,,,,
Bennett1898 & reprints/related,Bennett1898,,,,,,,11/1/1898,,,,
,,TheSacredHeartReview1898,,,,,,11/19/1898,Summarization (down to one paragraph) of Bennett1898,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
Holder1899 & reprints/related,Holder1899,,,,,,,10/7/1899,,,,
,,TheEveningNews1899,,,,,,12/2/1899,"Direct reprint of Holder1899, minus one paragraph",,,
,,Holder1899_TOW,,,,,,12/7/1899,"Direct reprint of Holder1899, minus one paragraph",,,
,,Holder1901,,,,,,1/1/1901,Truncated reprint of Holder1899,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MEDudley1901/FHDudley1901 & reprints/related,FHDudley1901,,,,,,,6/1/1901,,,,
,,MEDudley1901,,,,,,8/4/1901,Direct reprint of FHDudley1901,Y--MEDudley,N,N
,,,MEDudley1901_TEJ,,,,,9/21/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,DemocraticHerald1901,,,,,10/23/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,AlleganyCountyRepublican1901,,,,,10/25/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,MEDudley1901_TSC,,,,,11/2/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,MEDudley1901_TCN_Nov8,,,,,11/8/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,MEDudley1901_TCN_Nov9,,,,,11/9/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,MEDudley1901_TNR,,,,,11/22/1901,Direct reprint of MEDudley1901,N,N,Y--MEDudley1901
,,,TheBannerDemocrat1901,,,,,12/28/1901,"Direct reprint of MEDudley1901--with few sentences removed

references MEDudley1901",N,N,Y--MEDudley1901
,,,,,,,,,,,,
,,,,,,,,,,,,
Julian1901_TS & reprints/related,Julian1901_TS,,,,,,,11/21/1901,,Y--Julian,N,N
,,Julian1901_TBH,,,,,,12/19/1901,Direct reprint of Julian1901_TS,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Gassaway1905 & reprints/related,Gassaway1905,,,,,,,6/1/1905,,,,
,,Gassaway1905_BDH,,,,,,6/6/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,Y--Gassaway,N,Y--Gassaway1905
,,Gassaway1905_ACFP,,,,,,6/8/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_KCS,,,,,,6/21/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TFWS,,,,,,6/24/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,EnglewoodTimes1905,,,,,,7/14/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_BA,,,,,,7/13/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TSWM,,,,,,7/14/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,TheWashingtonPost1905,,,,,,7/2/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TSLR,,,,,,7/16/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,N
,,Gassaway1905_TTDC,,,,,,7/23/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,N
,,Gassaway1905_TSLT,,,,,,7/23/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_DCJ,,,,,,7/28/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TTT,,,,,,8/7/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_BDE,,,,,,8/12/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_NA,,,,,,9/1/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TID,,,,,,9/20/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,Gassaway1905_TCR,,,,,,11/2/1905,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,Y--Gassaway1905
,,DailyPeople1906,,,,,,2/11/1906,Truncated reprint of Gassaway1905--introductory sentence and 1 paragraph reprinted,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
TheGazetteTimes1906 & reprints/related,TheGazetteTimes1906,,,,,,,8/12/1906,,,,
,,Chicago Chronicle (see StillSearching),,,,,,,,,,
,,TheDailyNews1907,,,,,,4/27/1907,Direct reprint of TheGazetteTimes1906--w/ additional sentences at the end of a few paragraphs,N,N,Y--Chicago Chronicle (see StillSearching)
,,,,,,,,,,,,
,,,,,,,,,,,,
CorsicanaDailySun1920 & reprints/related,CorsicanaDailySun1921,,,,,,,6/20/1921,,,,
"""On San Nicolas Island, which is uninhabited""",,TheBeloitDailyCall1921_Jun28,,,,,,6/28/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheAlmanceGleaner1921,,,,,,6/30/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,GalenaWeeklyRepublican1921,,,,,,7/1/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheDailyCourierGazette1921,,,,,,7/4/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheEveningGazette1921,,,,,,7/6/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,MountCarmelItem1921,,,,,,7/7/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheBeloitDailyCall1921_Jul7,,,,,,7/7/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,ErieCountyIndependent1921,,,,,,7/7/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheEveningNews1921,,,,,,7/15/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheSuffolkCountyNews1921,,,,,,7/15/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheBemidjiDailyPioneer1921,,,,,,7/16/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,GenevaDailyTimes1921,,,,,,7/26/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,SkaneatelesFreePress1921,,,,,,7/29/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheFayettevilleBulletin1921,,,,,,7/29/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheChanuteDailyTribune1921,,,,,,8/8/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheEastHamptonStar1921,,,,,,8/25/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheOswegoPalladium1921,,,,,,9/3/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,LipscombLimeLight1921,,,,,,12/1/1921,Direct reprint of CorsicanaDailySun1921,N,N,N
,,TheRioGrandeRepublic1922,,,,,,4/13/1922,Direct reprint of CorsicanaDailySun1921,N,N,N
,,CortlandStandard1926,,,,,,12/10/1926,Direct reprint of CorsicanaDailySun1921,N,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
R. L. Moodie (see StillSearching) & reprints/related,R. L. Moodie (see StillSearching),,,,,,,,,,,
,,TheDailyStar1930,,,,,,3/22/1930,"References R. L. Moodie (see StillSearching)
References Kansas City Star's Science Service (see StillSearching)",N,"Y--R. L. Moodie (see StillSearching), Kansas City Star's Science Service (see StillSearching)",N
,,,TheColdSpringRecorder1930,,,,,7/25/1930,"Direct reprint of TheDailyStar1930
[References R. L. Moodie (see StillSearching)
References Kansas City Star's Science Service (see StillSearching)]",N,"Y--R. L. Moodie (see StillSearching), Kansas City Star's Science Service (see StillSearching)",N
,,,,,,,,,,,,
,,,,,,,,,,,,
Fife1943 & reprints/related,Fife1943,,,,,,,4/1/1943,,,,
,,Altrocchi1944,,,,,,2/14/1944,Response to Fife1943,Y--Altrocchi,N,N--same pub
,,,HanchettFife1944,,,,,4/15/1944,Response to Altrocchi1944,"Y--Hanchett, Fife",N,N--same pub
,,,,,,,,,,,,
,,,,,,,,,,,,
Davidson1943_TB & reprints/related,Davidson1943_TB,,,,,,,7/19/1943,,,,
,,Davidson1943_TGDN,,,,,,7/19/1943,"Truncated reprint of Davidson1943_TB--16 paragraphs reprinted, rearranged, w/ missing and paraphrased sentences
References AP (see StillSearching)",Y--Davidson,Y--AP (see StillSearching),N
,,,,,,,,,,,,
,,,,,,,,,,,,
LosAngelesTimes1951 & reprints/related,LosAngelesTimes1951,,,,,,,7/9/1951,,,,
,,Carl1952,,,,,,4/1/1952,Paraphrases portions of LosAngelesTimes1951,Y--Carl,N,N--same pub
,,,,,,,,,,,,
,,,,,,,,,,,,
HeizerElsasser1961 & reprints/related,HeizerElsasser1961,,,,,,,6/10/1961,,,,
,,HeizerElsasser1966,,,,,,1/1/1966,"Direct reprint of HeizerElsasser1961--w/ new preface, w/o original abstract, w/ new first paragaph, w/ annotation",Y--HeizerElsasser1961,N,Y--HeizerElsasser1961
,,,,,,,,,,,,
,,,,,,,,,,,,
Sauers2013_AirTime & reprints/related,Sauers2013_AirTime,,,,,,,6/1/2013,,,,
,,Sauers2013_Currents,,,,,,9/1/2013,Direct reprint of Sauers2013_AirTime,Y--Sauers,N,N
,,,,,,,,,,,,
,,,,,,,,,,,,
TelleenLawton2013_Mag & reprints/related,TelleenLawton2013_Mag,,,,,,,7/1/2013,,,,
,,TelleenLawton2013_Blog,,,,,,7/11/2013,Direct reprint of TelleenLawton2013_Mag,Y--TelleenLawton,N,Y--TelleenLawton2013_Mag
