number,publication,source_note,citation,article_id,citation_format,author,title,volume_number,issue_number,day,month,year,date,publisher,location,editor
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",LosAngelesTimes1928,newspaper-article,,"""Story of Lost Woman Retold.""",47,,28,February,1928,1928-02-28,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",LosAngelesTimes1929,newspaper-article,,"""Fish-Hook Has Sad History: Crude Instrument Loaned to Santa Barbara Museum for Years used by Lone Woman Crusoe.""",49,,28,December,1929,1929-12-28,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",LosAngelesTimes1951,newspaper-article,,"""Indians Once Lived on Channel Islands.""",70,,9,July,1951,1951-07-09,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Sell1954,newspaper-article,"Sell, Ted.","""Tiny Skeleton Recalls 1835 Island Saga. Bones Believed Those of Mystery Hermit's Child.""",73,,5,July,1954,1954-07-05,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Kirsch1960,review-book,"Kirsch, Robert K.","""Story of a Human Experience.""",79,,17,March,1960,1960-03-17,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Brown1961,review-book,"Brown, Myra Berry.","""Two Californians Win Top Honors for Children's Books.""",80,,19,March,1961,1961-03-19,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Loper1961,review-book,"Loper, Mary Lou.","""Nobody Liked it But the Readers.""",80,,20,April,1961,1961-04-20,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Rasmussen2001,newspaper-article,"Rasmussen, Cecilia.","""L.A. Then and Now; Woman’s Lonely Saga Left a Mystery.""",,,18,March,2001,2001-03-18,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Robinson2004-Adrift,newspaper-article,"Robinson, Joe.","""Marooned,"" and ""Adrift in a Sea of Fiction.""",,,15,June,2004,2004-06-15,,"Los Angeles, California",
150,Los Angeles Times,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Robinson2004-Marooned,newspaper-article,"Robinson, Joe.","""Marooned,"" and ""Adrift in a Sea of Fiction.""",,,15,June,2004,2004-06-15,,"Los Angeles, California",
151,Los Angeles Times Magazine,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Mathis1899,newspaper-supplement-article,"Mathis, S. J.","""The Lone Woman of San Nicolas.""",18th year,,8,January,1899,1899-01-08,,"Los Angeles, California",
151,Los Angeles Times Magazine,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",MEDudley1901,newspaper-supplement-article,"Dudley, M.E.","""Twenty Years Alone. The True Story of the Woman of San Nicolas Island.""",50,,4,August,1901,1901-08-04,,"Los Angeles, California",
151,Los Angeles Times Magazine,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Drake1931,newspaper-supplement-article,"Drake, Waldo.","""The Little Known Islands That Lie Off Our Coast.""",50,,31,May,1931,1931-05-31,,"Los Angeles, California",
151,Los Angeles Times Magazine,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",McGroarty1932,newspaper-supplement-article,"McGroarty, John S.","""The Forgotten Woman of San Nicolas Island.""",55,,23,October,1932,1932-10-23,,"Los Angeles, California",
151,Los Angeles Times Magazine,"The Los Angeles Times (1881-current) is a daily newspaper founded by Nathan Cole, Jr. and Thomas Gardiner out of Los Angeles, California. It was originally the Daily Times, but dropped the Daily from its title in 1886. Harrison Gray Otis became publisher of the paper in 1882. The Times has printed various supplements over the course of its lifespan, including the Los Angeles Times Magazine. Los Angeles was growing throughout the 1880s due to the railroad and advertisements about the city’s favorable climate; it reached a population of 50,395 in 1890. Otis’s son-in-law, Henry Chandler, took over the paper in 1917. The city reached a population of one million in 1924. Henry’s son, Norman, took over the Los Angeles Times in 1944. In the first part of the twenty-first century, the Los Angeles Times has the fourth largest newspaper circulation in the country, after USA Today, the Wall Street Journal and the New York Times.","""Early Statehood: 1850s-1880s: The Rise of Los Angeles, Picture This, accessed June 26, 2016. ""Historical Timeline of Los Angeles,"" Discover Los Angeles, last updated April 20, 2016, accessed June 26, 2016. ""The Los Angeles Times’ History,"" Los Angeles Times, September 21, 2012, accessed June 26, 2016. ""Los Angeles Times Records,"" Online Archive of California, accessed June 28, 2016. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",Bennett1936,newspaper-supplement-article,"Bennett, William Crosby.","""Mrs. Robinson Crusoe: She Lived Isolated, for Eighteen Years on San Nicolas—Off our Southern California Shores. When They Rescued Her She Withered and Died in the Discomfort of our Cramped Civilization.""",55,,9,August,1936,1936-08-09,,"Los Angeles, California",
152,Lowell (MA) Daily Citizen and News,"The Lowell Daily Citizen and News (1856-94) was a daily newspaper founded by Leonard Brown and George F. Murray, out of Lowell, Massachusetts. It was a consolidation of three different papers: the Daily Morning Paper, the American Citizen and the Daily Citizen. Chauncey Knapp became the editor in 1859, and the paper continued under him through the 1880s. A staunch anti-slavery supporter, he brought the paper to a circulation of 1,000 daily in 1878. Lowell was a prominent industrial center during this time.","""About Lowell daily citizen. (Lowell, Mass.) 1876-1894,"" Chronicling America, accessed 22 March 2016. Charles Cowley, Illustrated History of Lowell (Boston: Lee & Shepard, 1868), accessed 23 March 2016, eBook. D. Hamilton Hurd, ed., History of Middlesex County Massachusetts (Philadelphia: J.W. Lewis & Co., 1890), accessed 23 March 2016, eBook. Frederick William Coburn, History of Lowell and Its People (New York: Lewis Historica Publishing Company, 1920), accessed 23 March 2016, eBook. Pettengill’s Newspaper Directory and Advertiser’s Handbook for 1878 (New York: S.M. Pettengill & Co., 1878), accessed 22 March 2016, eBook. Richard P. Howe Jr. and Chaim M. Rosenberg, Legendary Locals of Lowell Massachusetts (Charleston, South Carolina: Legendary Locals, 2013), accessed 23 March 2016, eBook.",LowellDailyCitizenAndNews1857,newspaper-article,"C. J. W. Russell,","""A California Crusoe,""","6,",no. 296,13,April,1857,1857-04-13,,"Lowell, Massachusetts",
152,Lowell (MA) Daily Citizen and News,"The Lowell Daily Citizen and News (1856-94) was a daily newspaper founded by Leonard Brown and George F. Murray, out of Lowell, Massachusetts. It was a consolidation of three different papers: the Daily Morning Paper, the American Citizen and the Daily Citizen. Chauncey Knapp became the editor in 1859, and the paper continued under him through the 1880s. A staunch anti-slavery supporter, he brought the paper to a circulation of 1,000 daily in 1878. Lowell was a prominent industrial center during this time.","""About Lowell daily citizen. (Lowell, Mass.) 1876-1894,"" Chronicling America, accessed 22 March 2016. Charles Cowley, Illustrated History of Lowell (Boston: Lee & Shepard, 1868), accessed 23 March 2016, eBook. D. Hamilton Hurd, ed., History of Middlesex County Massachusetts (Philadelphia: J.W. Lewis & Co., 1890), accessed 23 March 2016, eBook. Frederick William Coburn, History of Lowell and Its People (New York: Lewis Historica Publishing Company, 1920), accessed 23 March 2016, eBook. Pettengill’s Newspaper Directory and Advertiser’s Handbook for 1878 (New York: S.M. Pettengill & Co., 1878), accessed 22 March 2016, eBook. Richard P. Howe Jr. and Chaim M. Rosenberg, Legendary Locals of Lowell Massachusetts (Charleston, South Carolina: Legendary Locals, 2013), accessed 23 March 2016, eBook.",LowellDailyCitizen1879,newspaper-article,,"""A Female Crusoe--A Strange Tale From the Pacific Ocean.""","29,","7,098",21,March,1879,1879-03-21,,"Lowell, Massachusetts",
153,Madison County (NY) Times,"The Madison County Times (1869-1975) was a weekly Democratic newspaper founded by Arthur White out of Chittenango, New York. In 1883, Luke McHenry took over the paper’s operations. The Madison County Times had a weekly circulation of 800 in 1885, when Chittenango had a population of 1,200 and the county a population of 44,112. The town had both grist and cotton mills.","""About Madison County times. (Chittenango, N.Y.) 1869-1975,"" Chronicling America, accessed June 12, 2016. Edgar L. Murlin, New York Red Book (Albany, NY: J.B. Lyon, 1911), accessed June 12, 2016, eBook. James Hadden Smith, History of Chenango and Madison Counties, New York (Syracuse, NY: D. Mason, 1880), accessed June 12, 2016, eBook. John E. Smith, ed., History of Sullivan, NYN.W. Ayer & Son’s American Newspaper Annual (Philadelphia: N.W. Ayer & Son, 1885), accessed June 12, 2016, eBook. (n.p.: Boston History Company, 1899), accessed June 12, 2016, eBook.",MadisonCountyTimes1885,newspaper-article,,"""Crusoe in Petticoats. A Woman Who was Eighteen Years on a Desert Island.""","15,",48,26,June,1885,1885-06-26,,"Chittenango, New York",
286,General AdvertiserMaitland (AUS) Mercury and Hunter River General Advertiser,"The Maitland Mercury and Hunter River General Advertiser (1843-present) is a newspaper (originally a weekly) founded by Richard Jones and Thomas William Tucker out of Maitland, New South Wales, Australia. The partnership between Tucker and Jones dissolved soon after the paper’s founding, but Tucker continued to run the Mercury independently. By 1893, the Hunter General Advertiser portion of the name had been dropped. The paper was successful because of its broad coverage spannin local, national, and international news. Maitland, located on the Hunter River in the Hunter Valley region of New South Wales, was a center of mining and industry in the last half of the nineteenth century, and is also known for the Maitland Gaol, which was the longest running gaol in Australia from 1844-1998.","""History,"" Maitland Gaol, accessed September 25, 2016, http://www.maitlandgaol.com.au/history. ""Hunter Valley,"" State Library New South Wales, New South Wales Government, accessed September 25, 2016, http://www.sl.nsw.gov.au/stories/hunter-valley/country-life. ""Maitland,"" Sydney Morning Herald, February 8, 2004, accessed September 25, 2016, http://www.smh.com.au/news/New-South-Wales/Maitland/2005/02/17/1108500197615.html. Oswald Ziegler, Maitland: 1863-1963 (Maitland, New South Wales: author, 1963), accessed September 25, 2016, eBook.",TheMaitlandMercury1879,newspaper-article,,"""A Lonely Life,""","36,",no. 4843,22,May,1879,1879-05-22,,"Maitland, New South Wales",
154,Malvern (IA) Leader,"The Malvern Leader (1877-current) is a newspaper that was founded by H. G. Rising out of Malvern, Iowa. In 1880, it combined with the Mills County Republican becoming the Malvern Republican Leader until 1883, when new owners, S. C. Hunter and E. B. Brown reverted back to the titile of the Leader. Malvern, which is in southwestern Iowan,  had a population of 1,003 in 1890 and was mainly agricultural.","""About Malvern,"" Malver, Iowa, accessed June 26, 2016. ""About Malvern Republican leader. (Malvern, Mills County, Iowa) 1880-1883,"" Chronicling America, accessed June 26, 2016. John D. Paddock, A Brief History of Malvern (Malvern, IA: Malvern Leader, 1917), accessed June 26, 2016, eBook. U.S. Census Bureau, ""1890 Census,"" accessed June 26, 2016, PDF.",TheMalvernLeader1893,newspaper-article,,"""A Female Crusoe.""","19,",3,21,September,1893,1893-09-21,,"Malvern, Iowa",
336,"Maryborouogh (AUS) Chronicle, Wide Bay and Burnett Advertiser","The Maryborough Chronicle, Wide Bay and Burnett Advertiser (1860-current) is a newspaper that was founded by Charles Buzacott out of Maryborough, Queensland, Australia. It was originally a weekly, but switched to a daily in 1882. In the 1890s, Maryborough was known as a trade hub for its sugar cane and timber production.","""About Us,"" Fraser Coast Chronicle, accessed November 5, 2016, http://www.frasercoastchronicle.com.au/aboutus/. ""Maryborough-History and Culture,"" Our Fraser Coast, accessed November 5, 2016, http://www.ourfrasercoast.com.au/history-and-culture2.",MaryboroughChronicle1897,newspaper-article,,"""The Islands of Mystery. Remains of a Giant Race,""",,no. 7608,25,March,1897,1897-03-25,,"Maryborough, Queensland, Australia",
155,Masterkey,"The Masterkey for Indian Lore and History (1956-83) was a quarterly journal published by the Southwest Museum in Los Angeles, California. It printed articles about American Indians.","""The Masterkey for Indian Lore and History,"" Journal Database, accessed November 6, 2016, http://www.journal-data.com/journal/the-masterkey-for-indian-lore-and-history.html.",Hudson1978_52(1),journal-article,"Hudson, D. Travis.","""Some J.P. Harrington Notes on the ""Lone Woman"" of San Nicolas.""","52,",1,,,1978,1978-01-01,,,
155,Masterkey,"The Masterkey for Indian Lore and History (1956-83) was a quarterly journal published by the Southwest Museum in Los Angeles, California. It printed articles about American Indians.","""The Masterkey for Indian Lore and History,"" Journal Database, accessed November 6, 2016, http://www.journal-data.com/journal/the-masterkey-for-indian-lore-and-history.html.",Hudson1978_52(4),journal-article,"Hudson, D. Travis.","""An Additional Harrington Note on the ""Lone Woman"" of San Nicolas.""","52,",4,,,1978,1978-01-01,,,
155,Masterkey,"The Masterkey for Indian Lore and History (1956-83) was a quarterly journal published by the Southwest Museum in Los Angeles, California. It printed articles about American Indians.","""The Masterkey for Indian Lore and History,"" Journal Database, accessed November 6, 2016, http://www.journal-data.com/journal/the-masterkey-for-indian-lore-and-history.html.",Hudson1980,journal-article,"Hudson, D. Travis.","""Additional Harrington Notes on the ""Lone Woman.""","54,",3,,,1980,1980-01-01,,,
