,"Publication Title 

(Do not put <i> or </i>)",Source Note,Source Note Citation Information,Documents,"CMS 16th Ed. Citation Format Designation 

(categorization below determines how the spreadsheet is read by the website programming)

book-entire, book-chapter/section, book-edition, book-pamphlet, book-report/report section, journal-article, magazine-article, newspaper-article, newspaper-figure, newspaper-supplement-article, newspaper-newsletter-article, review-book, review-film, review-sound recording-transcription, personal communication, thesis/dissertation, manuscript, blog/website",Author Name,Article Title,Volume Number,Issue Number,Day,Month,Year,Standardized Date (yyyy-mm-dd),"Publisher 

(required for monograph)","Place of Publication

for maps on website

also for browse by publication location feature",Editor
id,publicationtitle,note,bibl,documents,,,,,,,,,,,,
190,Rockingham Pee Dee (NC) Bee,"The <i>Pee Dee Bee</i> (1873-1879) was a weekly independent newspaper founded by William F. Sandford out of Rockingham, North Carolina. It is named after the nearby Pee Dee River. The population of Rockingham in 1880 was 1,012, and textiles were the main economic force in the area.","""About The Pee Dee bee. (Rockingham, N.C.) 187?-1879,"" <i>Chronicling America</i>, accessed April 10, 2016. James E. and Ida C. Huneycutt, <i>A History of Richmond County</i> (Rockingham, NC: author, 1976), 156, 183, 351.<i>Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed 29 March 2016, eBook.",ThePeeDeeBee1879,newspaper-article,,"""A Female Crusoe."" ","6, ",14,5,April,1879,1879-04-05,,"Rockingham, North Carolina",
191,Salem (NC) People's Press,"The <i>People’s Press</i> (1851-92) was founded by brothers Levi and Edward Blum out of Salem, North Carolina. It was a Whig paper that rivaled fiercely with the Democratic <i>Western Sentinel</i>. During the 1850s, mill manufacturing was the main industry.","""Civil War 150,"" <i>North Carolina Room–Forsyth County Public Library</i>, updated June 5, 2011, accessed March 7, 2016. Michael Shirley, <i>From Congregation Town to Industrial City</i> (New York: New York University Press, 1994), accessed March 7, 2016.",ThePeoplesPress1853,newspaper-article,,"""A Female Crusoe."" ","3, ",40,19,November,1853,1853-11-19,,"Salem, North Carolina",
192,Perry (IA) Daily Chief,"The <i>Perry Chief</i> (1894-current) is a daily newspaper out of Perry, Iowa; it was originally a weekly, but when brothers Robert and Allen Harvey bought the paper in 1894, they turned it into a daily. The siblings continued to control the paper through the early 1900s, with Allen running the editorial side, and Robert providing financing through his career as a circus manager. Agriculture was the main industry for Perry (pop. 4,630 in 1910) at the beginning of the twentieth century.","""About The Perry chief. (Perry, Iowa) 1983-current,"" <i>Chronicling America</i>, accessed July 12, 2016. <i>Julius Cahn’s Official Theatrical Guide</i> 14 (1909):429, accessed July 12, 2016, eBook. ""Necrology of Notable Iowans,"" <i>Annals of Iowa</i> 35 no. 3 (1960): 238, accessed July 12, 2016, PDF. U.S. Census Bureau, ""1910 Census,"" accessed July 12, 2016, PDF. ""William C. Page and Joanna R. Page, ""National Register of Historic Places Multiple Property Documentation Form: Downtown Perry, Iowa,"" <i>United States Department of the Interior National Park Service</i>, April 30, 1998, accessed July 12, 2016, PDF.",ThePerryDailyChief1906,newspaper-article,,"""A Woman Crusoe."" ",,,24,April,1906,1906-04-24,,"Perry, Iowa",
193,San Jose (CA) Pioneer,"The <i>Pioneer</i> (1877-98) was a weekly newspaper founded by Alex P. Murgotten out of San Jose, California. Murgotten was a member of the Pioneer Society of Santa Clara County, which had called for each pioneer member to share his pioneer story. Murgotten thought that the newspaper would be an efficient way  to do this while also providing a means to communicate other information relevant to the Pioneers, such as local county news. The paper had a circulation of fewer than 1,000 in 1880. San Jose was primarily agricultural at this time.","""About The Pioneer. (San Jose, Calif.) 1877-1898,"" <i>Chronicling America</i>, accessed March 28, 2016. <i>George P. Rowell’s American Newspaper Directory</i> (New York: George P. Rowell, 1880), accessed March 28, 2016, eBook. J.P. Munro-Fraser, <i>History of Santa Clara County, California</i> (San Francisco: Alley, Bowen, 1881), accessed March 28, 2016, eBook. ""San Jose’s History,"" <i>San Jose</i>, accessed March 28, 2016. <i>Transactions of the Third Annual Reunion of the Oregon Pioneer Association</i> (Salem, Ore.: E.M. Waite, 1876), accessed March 28, 2016, eBook.",ThePioneer1879,newspaper-article,,"""Left Alone on a Dreary Desert Island for Eighteen Years, California's Feminine Crusoe.""","3,",7,15,February,1879,1879-02-15,Alex P. Murgotten,"San Jose, California",
,Pioneer (RU),"The <i>Pioneer</i> is a monthly children's magazine that released its first issue on March 15, 1924. During the Soviet era, this Moscow-based publication drew its origins from the concurrent Pioneer Youth movement initiated by Lenin. Primarily serving as a source of communist teachings for schoolchildren age 9-15, this publication featured a variety of stories and reached a circulation of 1.5 million in 1975. The magazine continues to be published today, but with a much smaller circulation (around 1,500). ",http://sovietime.ru/skachat-zhurnal-pioner                  http://e-n-d.ru/smi_magaz/500.html,,,,,,,,,,,,,
194,The Pittsburg Press,"The <i>Pittsburg Press</i> (1887-1992) was a daily newspaper founded by Thomas Johnston Keenan Jr. out of Pittsburgh, Pennsylvania. The newspaper referred to itself and the city of Pittsburgh without the ""h"" until 1927. John S. Ritenour was the first editor of the <i>Press</i>, which was sold to Oliver S. Hershman in 1901. Both Keenan and Hershman were major sports fans, and the paper reflected this interest with large spreads on baseball, cycling, and boxing. Pittsburgh (pop. 321,616 in 1900) was an industrial city during the early twentieth century, and was especially known for its steel. The <i> Press</i> was combined with the <i>Pittsburgh Post-Gazette</i> in 1992, and an online version was created in 2011.","""About The Pittsburg press. (Pittsburg, Pa.) 1887-1992),"" <i>Chronicling America</i>, accessed July 5, 2016. Brook Hays, ""25 Things You Should Know About Pittsburgh,"" <i>Mental Floss</i>, April 7, 2016, accessed July 5, 2016. Clarke M. Thomas, <i>Front-Page Pittsburgh: Two Hundred Years of the Post-Gazette</i> (Pittsburgh: University of Pittsburgh, 2011), accessed July 5, 2016, eBook. John William Leonard and Albert Nelson Marquis, eds., <i>Who’s Who in America</i> (Chicago: A. N. Marquis, 1905), accessed July 5, 2016, eBook. ""Pittsburgh Press,"" <i>Info-List</i>, accessed July 5, 2016. Rich Gigler, ""Did We Ever Have a Century!"" <i>Pittsburgh Post-Gazette</i>, June 24, 1984, accessed July 5, 2016. U.S. Census Bureau, ""1900 Census,"" accessed July 5, 2016, PDF.","ThePittsburgPress1901
ThePittsburgPress1904",newspaper-article,,"""Relics of a Vanished Race: Found On a Lonely Island of Califnoria.""","21, ",39,9,Febraruy,1904,1904-02-09,,"Pittsburg, Pennsylvania",
195,Cleveland Plain Dealer,"The <i>Plain Dealer</i> (1842-current) is a daily newspaper founded by Joseph Gray out of Cleveland, Ohio; it was a weeklyfor its first three years of publication. Liberty Holden bought the newspaper in 1885 and hired Elbert Baker and Charles Kennedy to run it. Under Holden’s ownership, the <i>Plain Dealer</i> moved away from its previous Democratic. Cleveland (pop. 381,768) was an industrial city during the early twentieth century, with high oil and steel production.","""About Cleveland plain dealer. Colume : (Cleveland [Ohio]) 1885-1961,"" <i>Chronicling America</i>, accessed July 5, 2016. Cleveland Historical Team, ""Cleveland Plain Dealer,"" <i>Cleveland Historical</i>, accessed July 5, 2016. ""Cleveland, Ohio,"" <i>Ohio History Central</i>, accessed July 5, 2016. J. E. Vacha, ""Print Journalism,"" <i>Encyclopedia of Cleveland History</i>, accessed July 5, 2016. John Vacha, ""An Overview of Cleveland Journalism Since 1818,"" <i>Teaching Cleveland</i>, accessed July 5, 2016. U.S. Census Bureau, ""1900 Census,"" accessed July 5, 2016, PDF.",ClevelandPlainDealer1904,newspaper-article,,"""Relics of a Vanished Race. Found on a Lonely Island Off California."" ","63rd year, ",45,14,February,1904,1904-02-14,,"Cleveland, Ohio",
202,Philadelphia Public Ledger,"The <i>Public Ledger</i> (1836-1925) was a daily newspaper out of Philadelphia. Organized by William Swain and Arunah Abell, it was one of the first penny papers in the city, and it launched as an experiment with plans to shut down after one year if it proved unsuccessful. After just eight months, however, the paper was commanded a circulation of 10,000, and it grew to 20,000 less than a year later, outcompeting by thousands the dailies in the city. The politically neutral <i>Ledger</i> printed all sorts of national and local news, with everything from temperance to reprintings of poetry. In 1847, albeit under much skepticism, the <i>Ledger</i> acquired the first ever rotary printer, speeding up its press time and starting a new era in newspaper printing.","Eugene H. Munday, <i>Historical Sketch of the Public Ledger of Philadelphia</i> (Philadephia: Public Ledger, 1870), accessed February 28, 2016, eBook. Michael Schudson, <i>Discovering the News</i> (New York: Basic Books, 1978), 18, 32. <i>Public Ledger Almanac</i> (Philadelphia: Public Ledger, 1887), accessed February 28, 2016, eBook.","PublicLedger1847
ThePublicLedger1879","newspaper-article
newspaper-article",,"""A Female Robinson Crusoe.""
""A Female Robinson Crusoe.""","22,
5,","98
30","16
30","January
May","1847
1879","Sat Jan 16 1847 07:56:02 GMT+0300 (EAT)
Fri May 30 1879 07:56:02 GMT+0300 (EAT)","N/A
F. W. Bowden","Philadelphia, Pennsylvania
Philadelphia, Pennsylvania","Washington L. Lane,
N/A"
293,Queanbeyan (AUS) Age,"The <i>Queenbeyan Age</i> (1860-current) is a daily newspaper founded by Rev. John Gale, out of Queanbeyan, New South Wales, Australia. The paper originally started as the <i>Golden Age</i>, in addition to many other titles, but landed on its current name in 1867. Queanbeyan had experienced a gold rush in the 1850s.","E. J. Lea-Scarlett, ""Gale, John (1831-1929),"" <i>Australian Dictionary of Biography</i>, National Centre of Biography, Australian National University, vol. 4 (1972), accessed October 6, 2016, http://adb.anu.edu.au/biography/gale-john-3586 ""Our History,"" <i>Visit Queanbeyan</i>, accessed October 6, 2016, http://www.visitqueanbeyan.com.au/queanbeyan-history.",TheQueanbeyanAge1879,newspaper-article,,"""A Female Crusoe,"" ",,,7,May,1879,1879-05-07,,"Queanbeyan, New South Wales",
323,Queensland (AUS) Times,"The <i>Queensland Times</i> (1859-current) is a newspaper originally founded out of Ipswich, Queensland, Australia, as the <i>Ipswich Herald</i>; the first editor of this weekly was J.C. Thompson. The paper originated as a means to advocate for the separation of present-day Queensland from New South Wales; however, the separation was formalized right before the first edition of the <i>Ipswich Herald</i> was printed. In 1861, Hugh Parkinson bought the paper, and changed its name to its current title. The <i>Queensland Times</i> reported primarily local and regional news. It became a daily paper in 1908. Ipswich was growing in the last half of the nineteenth century because of its connections to the railroad.","""About Us,"" <i>Queensland Times</i>, Australian Regional Media, accessed October 30, 2016, http://www.qt.com.au/aboutus/. ""History of the Queensland Times,"" <i>Federation</i>, Ipswich Library and Information Service, 2001, accessed October 30, 2016, http://qtproject.ipswich.qld.gov.au/history.html. ""Ipswich History Timeline,"" <i>City of Ipswich</i>, accessed October 30, 2016, PDF,",TheQueenslandTimes1879,newspaper-article,,"""A Female Crusoe,""",18,no. 2555,20,May,1879,1879-05-20,,"Ipswich, Queensland, Australia",
204,Reading (PA) Times and Dispatch,"The <i>Reading Times and Dispatch</i> (1870-1914) was a daily newspaper founded by Jacob Knabb out of Reading, Pennsylvania. He owned both the <i>Evening Dispatch</i> and the <i>Reading Times</i>, which he combined in 1870, dropping the <i>Evening</i> out of the <i>Dispatch</i>, to make the new paper. Thomas C. Zimmerman was the editor, and the paper  had a circulation of 3,000 in 1878. In 1881, the paper shortened its title to just the <i>Reading Times</i>. Reading was an industrial hub, with the Reading Railroad connecting the town to Philadelphia and from there, the rest of the country.","""About Reading times and dispatch. (Reading, Pa.) 1870-1881,"" <i>Chronicling America</i>, accessed March 29, 2016. ""About Reading times. (Reading, Pa.) 1881-1914,"" <i>Chronicling America</i>, accessed June 13, 2016. ""History of Reading Newspapers,"" <i>History of Reading Newspapers</i>, updated August 10, 2013, accessed March 29, 2016. <i>Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed March 29, 2016, eBook. Rob Engle, ""The Guilded Age in Reading Pennsylvania,"" <i>Berks History Center</i>, accessed March 29, 2016.",ReadingTimesAndDispatch1879,newspaper-article,,"""A Female Crusoe. On An Island In The Pacific. Wild Woman Found on the Isolated Island of San Nicholas Seventy Miles From the California Coast."" ","42, ",130,3,March,1879,1879-03-03,,"Reading, Pennsylvania",
205,Reading (PA) Times,"The <i>Reading Times and Dispatch</i> (1870-1914) was a daily newspaper founded by Jacob Knabb out of Reading, Pennsylvania. He owned both the <i>Evening Dispatch</i> and the <i>Reading Times</i>, which he combined in 1870, dropping the <i>Evening</i> out of the <i>Dispatch</i>, to make the new paper. Thomas C. Zimmerman was the editor, and the paper  had a circulation of 3,000 in 1878. In 1881, the paper shortened its title to just the <i>Reading Times</i>. Reading was an industrial hub, with the Reading Railroad connecting the town to Philadelphia and from there, the rest of the country.","""About Reading times and dispatch. (Reading, Pa.) 1870-1881,"" <i>Chronicling America</i>, accessed March 29, 2016. ""About Reading times. (Reading, Pa.) 1881-1914,"" <i>Chronicling America</i>, accessed June 13, 2016. ""History of Reading Newspapers,"" <i>History of Reading Newspapers</i>, updated August 10, 2013, accessed March 29, 2016. <i>Pettengill’s Newspaper Directory and Advertisers’ Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed March 29, 2016, eBook. Rob Engle, ""The Guilded Age in Reading Pennsylvania,"" <i>Berks History Center</i>, accessed March 29, 2016.",ReadingTimes1885,newspaper-article,,"""A Feminine Crusoe. How She Lived Eighteen Years On A Desert Island. The Story of the Lost Woman of San Nicolas--Her Ingenuity and Fertility of Invention--A Wonderful History."" ","56, ",103,1,August,1885,1885-08-01,,"Reading, Pennsylvania",
208,"Rio Grande Republic (Las Cruces, NM)","The <i>Rio Grande Republic</i> (1881-1923) was a semi-weekly newspaper founded by James A. Spralding out of Las Cruces, New Mexico; it was originally called the <i>Rio Grande Republican</i> but was shortened to just the <i>Republic</i> in 1914. D. W. Bronson was the editor in 1922 when the newspaper had a circulation of 940. Las Cruces had a population of 3,989 in 1920.","""About Rio Grande republican. (Las Cruces, N.M.) 1881-1914,"" <i>Chronicling America</i>, accessed July 25, 2016. <i>N.W. Ayer & Son’s American Newspaper Annual</i> (Philadelphia: N.W. Ayer & Son, 1920), accessed July 24, 2016 eBook. U.S. Census Bureau, ""1920 Census,"" accessed July 25, 2016, PDF.",TheRioGrandeRepublic1922,newspaper-article,,"""Alone For Eighteen Years. Indian Woman, Abandoned on Desert Island, FInally Found by Party of Otter Hunters."" ","41st year, ",44,13,April,1922,1922-04-13,,"Las Cruces, New Mexico",
302,Hay (AUS) Riverine Grazier,"The <i>Riverine Grazier</i> (1873-current) is a newspaper out of Hay, New South Wales, Australia, founded by John Andrew. Hay was a prominent river port in the last half of the nineteenth century.","<i>Hay Historical Society</i> webpage, last updated May 12, 2010, accessed October 13, 2016. ""Riverine Grazier’s Facebook page,"" accessed October 13, 2016.",TheRiverineGrazier1880,newspaper-article,"[Emma C. Hardacre],","""Eighteen Years Alone. A Tale of the Pacific,"" ",,no. 551,29,December,1880,1880-12-29,,"Hay, New South Wales, Australia",
93,Rochester (NY) Democrat and Chronicle,"The <i>Rochester Democrat and Chronicle</i> (1870-current) is a daily and semi-weekly newspaper founded by the Rochester Printing Company; it was the combination of the <i>Democrat</i> and the <i>Rochester Chronicle</i> out of Rochester, New York. Despite its title, the paper was Republican in nature. William H. Matthews was the president of the publishing company. It had a circulation of 5,600 in 1873. It dropped the <i>Rochester</i> out of its name in 1884. Rochester was industrial at this time, especially known for its shoe manufacturing.","""About Rochester Democrat and chronicle. (Rochester, N.Y.) 1870-1884,"" <i>Chronicling America</i>, accessed April 3, 2016. ""Matthews Retires at 83,"" <i>Editor and Publisher</i> 53, no. 27-52 (1920): 29, eBook. <i>Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed April 3, 2016. Ruch Rosenberg-Napersteck, ""Two Centuries of Industry and Trade in Rochester, <i>Rochester History</i> LI, no. 4 (1989): 15, PDF. W. H. McIntosh, <i>History of Monroe County, New York</i> (New York: W.E. Morrison, 1876), accessed April 3, 2016, eBook.","Witter1885_DAC
DemocratAndChronicle1892
DemocratAndChronicle1894
DemocratAndChronicle1901","newspaper-article
newspaper-article
newspaper-article
newspaper-article","Witter, Fred Spalding.
N/A                               N/A                                    N/A","""Sanitarium of the West. Rambles About San Francisco and Down the Pacific Coast. Stories of Spanish Fathers. Barbara, the Saint--The Lost Woman of San Nicolas--Remains of the Old Museum--Traces of the Mound Builders. Golden Gate.""
""Covered with Skeletons. The Story of San Nicolas Island and Its Last Inhabitant."" 
""Romance of the Sea. Relics of a Lost Tribe of Indians Were Found."" 
""Channel Islands Land of Romance. Homes of Lost Islanders to be Visited By Explorers. Rich Fields for Work. Questions as to the Archipelago Off the California Coast--Countless Skulls and One Live Woman of St. Nicholas."" ","53,
60, 
62, 
69th year ","88
75
364
N/A","29
28
30
7","March
March
December
January","1885
1892
1894
1901","Sun Mar 29 1885 08:00:00 GMT+0300 (EAT)
Mon Mar 28 1892 08:00:00 GMT+0300 (EAT)
Sun Dec 30 1894 08:00:00 GMT+0300 (EAT)
Mon Jan 07 1901 08:00:00 GMT+0300 (EAT)","Rochester Print. Co.
N/A                                                 N/A                                                         N/A","Rochester, New York
Rochester, New York
Rochester, New York
Rochester, New York",
209,Rochester (NY) Democrat and Chronicle,"The <i>Rochester Democrat and Chronicle</i> (1870-current) is a daily and semi-weekly newspaper founded by the Rochester Printing Company; it was the combination of the <i>Democrat</i> and the <i>Rochester Chronicle</i> out of Rochester, New York. Despite its title, the paper was Republican in nature. William H. Matthews was the president of the publishing company. It had a circulation of 5,600 in 1873. It dropped the <i>Rochester</i> out of its name in 1884. Rochester was industrial at this time, especially known for its shoe manufacturing.","""About Rochester Democrat and chronicle. (Rochester, N.Y.) 1870-1884,"" <i>Chronicling America</i>, accessed April 3, 2016. ""Matthews Retires at 83,"" <i>Editor and Publisher</i> 53, no. 27-52 (1920): 29, eBook. <i>Pettengill’s Newspaper Directory and Advertiser’s Hand-book for 1878</i> (New York: S.M. Pettengill, 1878), accessed April 3, 2016. Ruch Rosenberg-Napersteck, ""Two Centuries of Industry and Trade in Rochester, <i>Rochester History</i> LI, no. 4 (1989): 15, PDF. W. H. McIntosh, <i>History of Monroe County, New York</i> (New York: W.E. Morrison, 1876), accessed April 3, 2016, eBook.",RochesterDemocratAndChronicle1879,newspaper-article,,"""A Woman Cruso[e]. An Almost Incredible Tale of the Pacific. Eighteen Years on a Lone Island Off Southern California."" ","47, ",41,17,February,1879,1879-02-17,,"Rochester, New York",
339,"Rocky Mountain News (Denver, CO)","The <i>Rocky Mountain News</i> (1859-2009) was a daily newspaper out of Denver, Colorado, founded by William Byers. The paper began circulating in the midst of Denver’s goldrush, and Byers was a city booster. The <i>Rocky Mountain News</i> had a circulation of 2,000 in 1878. In the 1880s, the population was 35,629, but growing with the local silver industry. By 1890, the <i>News</i> faced competition for circulation from five different newspapers, but continued to be profitable. The paper did not fold until  2009 when the recession–and internet news sources–took a toll on circulation numbers, ultimately closing down the oldest newspaper in the state.","Catherine Tsai, "" Scrappy Rocky Mountain News closing its doors,"" <i>The San Diego Union-Tribune</i>, The San Diego Union-Tribune, http://www.sandiegouniontribune.com/sdut-rocky-mountain-news-history-022609-2009feb26-story.html. <i>Geo. P. Rowell’s American Newspaper Directory</i> (New York: Geo. P. Rowell, 1878), accessed January 14, 2017, eBook. ""Mining History Association,"" <i>Discover Mining History</i>, Mining History Association, accessed January 16, 2017, http://www.mininghistoryassociation.org/Leadville.htm. ""Rocky Mountain News,"" <i>Colorado Collections Connection</i>, Center for Colorado & the West at Auraria Library, accessed January 14, 2017, https://collectioncare.auraria.edu/content/rocky-mountain-news-first-edition.",RockyMountainNews1885,newspaper-article,"[Fred Spalding Witter],","""A Feminine Crusoe. Eighteen Years on a Desert Island—How She Lived and Dressed,"" ",27,,22,May,1885,1885-05-22,,"Denver, Colorado",
307,Boston Sacred Heart Review,"The <i>Sacred Heart Review</i> (1888-1918) was a weekly newspaper founded by Father John O’Brien out of Boston. This paper catered to middle class Catholic families, and therefore included specific church related-material, in addition to local, national, and global news, and did not print any liquor ads. The <i>Review</i> (circ. 40,000 in 1880) employed many young Irish American women as writers.","Colleen McDannell, ""Catholic Domesticity,"" <i>The Christian Home in Victorian America, 1840-1900</i> (Bloomington, IN: Indiana University Press, 1986), accessed October 16, 2016, eBook. ""Death of Monsignor O’Brien,"" <i>Sacred Heart Review</i>, 58, no. 7 (1917): 1, accessed October 16, 2016. Rosemary Skinner Keller and Rosemary Radford Ruether, eds., ""American Catholic Women in the Age of Progress,"" <i>Encyclpedia of Women and Religion in North America</i> (Bloomington, IN: Indiana University Press, 2006), accessed October 16, 2016, eBook. ""The Sacred Heart Review,"" <i>Boston College</i>, accessed October 16, 2016, http://newspapers.bc.edu/cgi-bin/bostonsh?a=cl&cl=CL1.BOSTONSH.",TheSacredHeartReview1898,newspaper-article,,"""The Farallones,"" ","20,",no. 21,19,November,1898,1898-11-19,,"Boston, Massachusetts",
214,Salem (NY) Weekly Review,"The <i>Salem Weekly Review</i> (1877-85) was a weekly newspaper founded by Daniel B. Cole out of Salem, New York. It was a Democratic paper that in 1885 was incorporated into the <i>Press</i> to become the <i>Salem Review Press</i>. Salem had a population of 3,707 in 1875, with farming as the main industry.","""About Salem weekly review. (Salem, N.Y.) 1877-1885,"" <i>Chronicling America</i>, accessed April 3, 2016. Crisfield Johnson, <i>History of Washington Co., New York</i> (Phildephia: Everts & Ensign, 1878), accessed April 3, 2016, eBook. William L. Stone, <i>Wsahington County New York</i> (Mt. Vernon, NY: New York History, 1901), accessed April 3, 2016, eBook.",SalemWeeklyReview1879,newspaper-article,,"""A Female Robinson Crusoe."" ","2, ",13,1,March,1879,1879-03-01,,"Salem, New York",
217,San Diego Union,"The <i>San Diego Union</i> (1868-1992) was a daily newspaper founded by William Jeff Gatewood out of San Diego, California. At its onset, circulation spanned Southern California, Arizona territory, and parts of northern Mexico. John D. Spreckles took over the paper in 1890;, and he increased circulation to around 4,000 by 1898, despite the economic downturn accompanying the Panic of 1893. In 1928, the Copley family bought the <i>San Diego Union</i>, and ran it until 2009. James Copley was in charge of the paper in the 1960s, when the city experienced another economic downturn. In 2009, the <i>San Diego Union</i> was combined with the <i>San Diego Evening Tribune</i> to form the <i>Union-Tribune</i>, which continues to be published today.","<i>C.A. Cooke and Co.’s United States Newspaper Directory Revised</i> (Chicago: n.p., 1881), accessed June 27, 2016, eBook. <i>George P. Rowell’s American Newspaper Directory</i> (New York: George P. Rowell, 1898), accessed June 27, 2016, eBook. ""James S. Copley,"" <i>San Diego History Center</i>, accessed June 27, 2016. Maribeth Mellin, Jane Onstott, Judith Devlin, <i>Insiders’ Guide to San Diego</i> (Guilford, CT: Insiders’ Guide, 2009), accessed June 27, 2016, eBook. ""San Diego History,"" <i>San Diego Magazine, accessed June 27, 2016. Willia Ellsworth Smythe, <i>San Diego and Imperial County, California</i> (Chicago: S. J. Clarke, 1913), accessed June 27, 2016, eBook.","SanDiegoUnion1896
TheSanDiegoUnion1963_Aug3
Meade1964_Mar5
Meade1964_Jul9
TheSanDiegoUnion1964_Jul19
TheSanDiegoUnion1964_Jul20
Meade1964_Jul24","newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-figure
review-film","N/A
N/A
Meade, James.
Meade, James.
N/A
N/A
Meade, James.","""California Islands. Remarkable Finds Made on San Nicolas and Others. The Lone Woman of San Nicolas and Her Mysterious Race--Occupation by Peculiar Races of Indians--Monumnets of Bones--Interesting Finds."" 
""Scott O'Dell Book Wins Top Award.""
""What's Happened to Family Films?""
""Varied Fare Due at City's Theaters.""
""War, Juvenile Films Offered in Openings.""
(photo) ""A Friendly Seal.""
""'Blue Dolphins' Is True to Novel.""",,,"18
3
5
9
19
20
24","October
August
March
July
July
July
July","1896
1963
1964
1964
1964
1964
1964","Sun Oct 18 1896 08:00:00 GMT+0300 (EAT)
Sat Aug 03 1963 07:00:00 GMT+0300 (EAT)
Thu Mar 05 1964 08:00:00 GMT+0300 (EAT)
Mon Sep 07 1964 07:00:00 GMT+0300 (EAT)
Sun Jul 19 1964 07:00:00 GMT+0300 (EAT)
Mon Jul 20 1964 07:00:00 GMT+0300 (EAT)
Fri Jul 24 1964 07:00:00 GMT+0300 (EAT)",,"San Diego, California
San Diego, California
San Diego, California
San Diego, California
San Diego, California
San Diego, California
San Diego, California",
218,San Francisco Chronicle,"The <i>San Francisco Chronicle</i> (1865-current) is a daily newspaper founded by Charles and Michael de Young out of San Francisco and originally named the <i>Dramatic Chronicle</i>; in 1869, the drama section of the paper split off into the <i>Daily Dramatic Review</i>, leaving just the main <i> San Francisco Chronicle</i>. This paper grew to 6,000 subscribers in its first year, and to 39,150 subscribers in its first decade. By 1867, it had dropped all political associations. In the early 1890s, the <i>San Francisco Chronicle</i> publishers held a counterpart to the Chicago’s World’s Fair, an event that attracted more than a million people to San Francisco, a city whose population was only 300,000; this increased the newspaper’s visibility. The San Francisco earthquake and fire of 1906 was a significant tragedy for the city, and it spurred the three main San Francisco papers (the <i>Chronicle</i>, <i>Examiner</i>, and <i>Morning Call</i>) to issue an emergency issue together. By 1961, the paper reached a circulation of 300,000 which was about half of the city’s population (740,316), even though it was still competing with the <i>Examiner</i>.","""About San Francisco chronicle. (San Francisco, Calif.) 1869-current,"" <i>Chronicling America</i>, accessed April 3, 2016. Chronicle Staff, ""A Brief Timeline of the San Francisco Chronicle,"" <i>SF Gate</i>, accessed April 3, 2016. James R. Smith, ""SF’s World’s Fair,"" <i>Guidelines</i>, accessed April 3, 2016. <i>San Francisco Chronicle and Its History</i> (San Francisco: 1879), accessed April 3, 2016, eBook. U.S. Census Bureau, ""1960 Census,"" accessed June 27, PDF.","SanFranciscoChronicle1879
SanFranciscoChronicle1889
SanFranciscoChronicle1893_Jul7
SanFranciscoChronicle1893_Jul8
SanFranciscoChronicle1893_Jul10
SanFranciscoChronicle1894
Edwords1906
Nichols1960","newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
newspaper-article
review-book","N/A 
N/A
N/A
N/A
N/A
N/A
Edwords, Clarence E. 
Nichols, Luther.","""Left Alone on a Dreary Desert Island for Eighteen Years. California's Feminine Crusoe. An Indian Mother's Devotion--The Solitary Inhabitant of the Island of San Nicholas.""
""The Channel Isles. California's Solitary Archipelago. Cabrillo's Unkown Grave. History and Description of the Santa Barbara Islands."" 
""Peril on San Nicolas. A Tidal Wave and Heavy Earthquakes. The Old Harbor Filled With Sand. Electrical Storms Killed the Crawfish and Paralyzed the Kanakas."" 
""A Female Crusoe. Story Of The Lost Woman of San Nicolas. She Returned for Her Child and Spent Twenty Years on the Island."" 
""A Romance Of The Sea. Relics of a Lost Tribe of Indians. The Cruise of the Schooner Alexander. Upturned Graves of a Once Mighty People on San Nicolas Island."" 
""A Female Crusoe On The Island Of Skulls."" 
""Story has universal appeal.""","29,
49, 
57, 
57, 
57, 
60, 
89, 
N/A","18
47
178
174
176
145
170
N/A","2
8
7
8
10
7
30
18","February
March
July
July
July
December
December
March","1879
1889
1893
1893
1893
1894
1906
1960","Sun Feb 02 1879 07:56:02 GMT+0300 (EAT)
Sun Mar 03 1889 08:00:00 GMT+0300 (EAT)
Fri Jul 07 1893 08:00:00 GMT+0300 (EAT)
Sat Jul 08 1893 08:00:00 GMT+0300 (EAT)
Mon Jul 10 1893 08:00:00 GMT+0300 (EAT)
Fri Dec 07 1894 08:00:00 GMT+0300 (EAT)
Sun Dec 30 1906 08:00:00 GMT+0300 (EAT)
Fri Mar 18 1960 08:00:00 GMT+0300 (EAT)","Charles D. Young & Co
N/A
N/A
N/A
N/A
N/A
N/A
N/A","San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California
San Francisco, California","Charles D. Young
N/A
N/A
N/A
N/A
N/A
N/A
N/A"
